Time,Vm,Cai
410.66,-71.9302276441927,6.89443238387003e-05
411.66,-71.9038148056901,6.8916351683591e-05
412.66,-71.8770507386631,6.8889089173622e-05
413.66,-71.8499263759312,6.88625394014421e-05
414.66,-71.8224323084649,6.8836705651726e-05
415.66,-71.7945587686771,6.88115914083531e-05
416.66,-71.7662956127074,6.87872003619817e-05
417.66,-71.7376323016228,6.87635364180447e-05
418.66,-71.7085578814581,6.87406037051945e-05
419.66,-71.6790609620093,6.87184065842265e-05
420.66,-71.6491296942856,6.86969496575143e-05
421.66,-71.618751746521,6.86762377789904e-05
422.66,-71.5879142786319,6.86562760647117e-05
423.66,-71.5566039150034,6.86370699040485e-05
424.66,-71.5248067154702,6.8618624971543e-05
425.66,-71.49250814435,6.86009472394847e-05
426.66,-71.4596930373733,6.85840429912541e-05
427.66,-71.426345566336,6.85679188354921e-05
428.66,-71.3924492012886,6.85525817211559e-05
429.66,-71.3579866700544,6.85380389535287e-05
430.66,-71.3229399148513,6.85242982112562e-05
431.66,-71.2872900457676,6.85113675644886e-05
432.66,-71.2510172908176,6.84992554942165e-05
433.66,-71.2141009422746,6.84879709128941e-05
434.66,-71.1765192989488,6.84775231864555e-05
435.66,-71.1382496040395,6.84679221578359e-05
436.66,-71.0992679781558,6.84591781721255e-05
437.66,-71.0595493470509,6.84513021034916e-05
438.66,-71.0190673635706,6.84443053840215e-05
439.66,-70.9777943232552,6.84382000346526e-05
440.66,-70.9357010729748,6.84329986983743e-05
441.66,-70.8927569119044,6.84287146759044e-05
442.66,-70.8489294840639,6.84253619640668e-05
443.66,-70.8041846615558,6.84229552971189e-05
444.66,-70.7584864175302,6.84215101913069e-05
445.66,-70.7117966877842,6.84210429929573e-05
446.66,-70.664075219768,6.84215709304487e-05
447.66,-70.615279407613,6.84231121704472e-05
448.66,-70.5653641116166,6.84256858788352e-05
449.66,-70.5142814604124,6.84293122868134e-05
450.66,-70.461980633817,6.84340127627167e-05
451.66,-70.4084076240645,6.84398098901502e-05
452.66,-70.3535049728261,6.84467275531309e-05
453.66,-70.2972114810356,6.84547910290063e-05
454.66,-70.23946188811,6.84640270900267e-05
455.66,-70.180186516648,6.84744641145641e-05
456.66,-70.1193108780942,6.84861322091079e-05
457.66,-70.0567552341577,6.84990633423267e-05
458.66,-69.9924341079483,6.851329149267e-05
459.66,-69.926255737816,6.85288528112018e-05
460.66,-69.8581214657161,6.85457858016096e-05
461.66,-69.7879250505362,6.85641315196333e-05
462.66,-69.7155518951582,6.85839337945088e-05
463.66,-69.6408781740298,6.86052394754431e-05
464.66,-69.5637698456045,6.86280987066301e-05
465.66,-69.484081531076,6.86525652349166e-05
466.66,-69.401655237261,6.86786967549359e-05
467.66,-69.3163188970999,6.87065552973917e-05
468.66,-69.2278846958517,6.87362076672124e-05
469.66,-69.13614714437,6.87677259395656e-05
470.66,-69.0408808525216,6.88011880232748e-05
471.66,-68.9418379453642,6.88366783030859e-05
472.66,-68.8387450515253,6.88742883745962e-05
473.66,-68.7312997764849,6.89141178885988e-05
474.66,-68.619166552042,6.8956275525282e-05
475.66,-68.5019717256156,6.900088012338e-05
476.66,-68.3792977170991,6.90480619952886e-05
477.66,-68.250676023851,6.90979644667522e-05
478.66,-68.1155787919753,6.9150745689537e-05
479.66,-67.9734085885376,6.92065807883119e-05
480.66,-67.8234858964238,6.92656644198259e-05
481.66,-67.6650336990364,6.93282138449375e-05
482.66,-67.4971583079396,6.93944726443081e-05
483.66,-67.3188252858834,6.94647152498376e-05
484.66,-67.1288288890212,6.95392525209554e-05
485.66,-66.925752831239,6.9618438674885e-05
486.66,-66.7079192580514,6.97026799940497e-05
487.66,-66.4733214413825,6.97924458992751e-05
488.66,-66.2195335932876,6.98882832223477e-05
489.66,-65.9435878738356,6.99908348819278e-05
490.66,-65.6418033043913,7.01008647410132e-05
491.66,-65.3095423799004,7.02192913391142e-05
492.66,-64.9408558487263,7.03472346966162e-05
493.66,-64.5279487847526,7.04860829525046e-05
494.66,-64.0603501525264,7.06375901509159e-05
495.66,-63.5235684385826,7.08040249853483e-05
496.66,-62.8968095527309,7.09884070890252e-05
497.66,-62.1488761968423,7.11949029992665e-05
498.66,-61.2302729360392,7.14295359349953e-05
499.073512945868,-60.7815086347402,7.15366210345769e-05
499.487025891735,-60.2762198426776,7.16510119245017e-05
499.900538837603,-59.7018814371634,7.17739093687651e-05
500.314051783471,-59.0415508102252,7.19068056109762e-05
500.727564729339,-58.2690512792302,7.20517069310706e-05
501.271087794438,-57.0108077544083,7.22653807780753e-05
501.696852549581,-55.7388445372383,7.24571123717744e-05
502.031436966182,-54.4670991257152,7.2628359595545e-05
502.366021382783,-52.8211605801957,7.28249407030164e-05
502.604337891309,-51.3030150125702,7.29864157479687e-05
502.797719497443,-49.7539036419395,7.3135877566519e-05
502.991101103577,-47.7902482136836,7.33087468580536e-05
503.135066164514,-45.951538566555,7.34588640646692e-05
503.279031225451,-43.6706285075598,7.36357330081326e-05
503.389602155884,-41.5329427844108,7.37976488240505e-05
503.500173086317,-38.9902602996597,7.39929672550951e-05
503.610744016751,-36.0056349054817,7.42379617116028e-05
503.721314947184,-32.6135251432187,7.45585150361274e-05
503.831885877617,-28.9651343793621,7.499299411339e-05
503.915727034728,-26.1874599330694,7.54283990289417e-05
503.99956819184,-23.5403871820345,7.59799074249273e-05
504.083409348951,-21.1108188199593,7.66652993827602e-05
504.167250506062,-18.9232283857169,7.74942582406089e-05
504.251091663173,-16.949309743865,7.84676117180048e-05
504.334932820284,-15.1366553407584,7.95789763980828e-05
504.432110118405,-13.1728827410514,8.10251717884385e-05
504.511821864977,-11.6301566416272,8.2323050655865e-05
504.591533611548,-10.1230817478156,8.37060544227355e-05
504.67124535812,-8.63670329216556,8.51592149798247e-05
504.750957104692,-7.16306705107364,8.66671357177218e-05
504.830668851263,-5.70013774080524,8.82144205803403e-05
504.916986107678,-4.13041826358038,8.99169911813249e-05
505.003303364092,-2.58210467903291,9.16303413088367e-05
505.089620620506,-1.06347599568739,9.33383692927932e-05
505.17593787692,0.416732652812252,9.50270333524322e-05
505.262255133335,1.85098951548664,9.66845488110048e-05
505.348572389749,3.23326284950593,9.83014505371593e-05
505.434889646163,4.55772251592503,9.98705336711539e-05
505.529273587711,5.93520654262984,0.000101525717932506
505.623657529259,7.23654647592618,0.000103114141315536
505.718041470807,8.461630541663,0.0001046346436576
